,Unnamed: 0.1,Unnamed: 0,max_column,id,song_title,artist_name,album_name,genre,lyrics,like_cnt,morning,night,minjung_id,rc_travel,rc_music
0,0,더현대서울_0,This Ain't Techno_5172,31654384,This Ain't Techno,David Guetta,This Ain't Techno,['일렉트로니카'],[Instrumental] I don't go wrong if I chose the techno I don't go wrong if I chose the techno I don't go wrong if I chose the techno I don't go wrong if I chose the techno,484,-0.2501470947326506,-0.2417529121096569,This Ain't Techno_5172,더현대서울,This Ain't Techno
1,151,기아 디자인 철학 전시 ppsites United_151,This Ain't Techno_5172,31654384,This Ain't Techno,David Guetta,This Ain't Techno,['일렉트로니카'],[Instrumental] I don't go wrong if I chose the techno I don't go wrong if I chose the techno I don't go wrong if I chose the techno I don't go wrong if I chose the techno,484,-0.2501470947326506,-0.2417529121096569,This Ain't Techno_5172,기아 디자인 철학 전시 ppsites United,This Ain't Techno
2,186,커먼그라운드_186,This Ain't Techno_5172,31654384,This Ain't Techno,David Guetta,This Ain't Techno,['일렉트로니카'],[Instrumental] I don't go wrong if I chose the techno I don't go wrong if I chose the techno I don't go wrong if I chose the techno I don't go wrong if I chose the techno,484,-0.2501470947326506,-0.2417529121096569,This Ain't Techno_5172,커먼그라운드,This Ain't Techno
3,330,세운청계상가_330,This Ain't Techno_5172,31654384,This Ain't Techno,David Guetta,This Ain't Techno,['일렉트로니카'],[Instrumental] I don't go wrong if I chose the techno I don't go wrong if I chose the techno I don't go wrong if I chose the techno I don't go wrong if I chose the techno,484,-0.2501470947326506,-0.2417529121096569,This Ain't Techno_5172,세운청계상가,This Ain't Techno
4,519,모옌 부천점_519,This Ain't Techno_5172,31654384,This Ain't Techno,David Guetta,This Ain't Techno,['일렉트로니카'],[Instrumental] I don't go wrong if I chose the techno I don't go wrong if I chose the techno I don't go wrong if I chose the techno I don't go wrong if I chose the techno,484,-0.2501470947326506,-0.2417529121096569,This Ain't Techno_5172,모옌 부천점,This Ain't Techno
5,561,플라츠2_561,This Ain't Techno_5172,31654384,This Ain't Techno,David Guetta,This Ain't Techno,['일렉트로니카'],[Instrumental] I don't go wrong if I chose the techno I don't go wrong if I chose the techno I don't go wrong if I chose the techno I don't go wrong if I chose the techno,484,-0.2501470947326506,-0.2417529121096569,This Ain't Techno_5172,플라츠2,This Ain't Techno
6,1,세종문화회관_1,Rave After Rave_4216,31108144,Rave After Rave,W&W,Rave After Rave,['일렉트로니카'],,276,0.0439453934159205,0.0550607813437787,Rave After Rave_4216,세종문화회관,Rave After Rave
7,340,대학로예술극장_340,Rave After Rave_4216,31108144,Rave After Rave,W&W,Rave After Rave,['일렉트로니카'],,276,0.0439453934159205,0.0550607813437787,Rave After Rave_4216,대학로예술극장,Rave After Rave
8,545,낙원악기상가_545,Rave After Rave_4216,31108144,Rave After Rave,W&W,Rave After Rave,['일렉트로니카'],,276,0.0439453934159205,0.0550607813437787,Rave After Rave_4216,낙원악기상가,Rave After Rave
9,657,아트원씨어터 1관_657,Rave After Rave_4216,31108144,Rave After Rave,W&W,Rave After Rave,['일렉트로니카'],,276,0.0439453934159205,0.0550607813437787,Rave After Rave_4216,아트원씨어터 1관,Rave After Rave
